"model_name","net_weights","error_value","checksum","repo_release_tag","model_caption","arxiv_paper","test_dataset","img_size","img_scale","test_batch","remark"
"efficientnet_edge_small_b",5438392,0640,"e27c3444406ebddd86824e41a924c0b8188c4067","v0.0.434","EfficientNet-Edge-Small-b","1905.11946","in1k",224,0.875,200,"[rwightman/pyt...models]*"
"efficientnet_edge_medium_b",6899496,0563,"99fa34c7044281e521fb7cf4267763a5b03b7f1c","v0.0.434","EfficientNet-Edge-Medium-b","1905.11946","in1k",240,0.882,200,"[rwightman/pyt...models]*"
"efficientnet_edge_large_b",10589712,0491,"d502326f9568f096491354a117f12562cf47e038","v0.0.434","EfficientNet-Edge-Large-b","1905.11946","in1k",300,0.904,90,"[rwightman/pyt...models]*"
"mixnet_s",4134606,0717,"ab2c4e37062e7ea34a2cdd112f9354d4e67a0fef","v0.0.493","MixNet-S","1907.09595","in1k",224,0.875,200,NA
"mixnet_m",5014382,0647,"4d90d345a38ba5041ac5cae2921e07d1eca083b2","v0.0.493","MixNet-M","1907.09595","in1k",224,0.875,200,NA
"mixnet_l",7329252,0571,"c686ba17fc6bca5f30ac596b37a7f95f2d4b6f30","v0.0.500","MixNet-L","1907.09595","in1k",224,0.875,200,NA
"resneta10",5438024,1190,"a066e5e07f13f8f2a67971931496d1c1ac09bbe1","v0.0.484","ResNet(A)-10",NA,"in1k",NA,NA,NA,NA
"resnetabc14b",10084168,0990,"bad51cb083aae58479112ad11a3fe9430346e185","v0.0.477","ResNet(A)-BC-14b",NA,"in1k",NA,NA,NA,NA
"resneta18",11708744,0831,"e9f206f480c46b489fbd300fa77db31d740c4f3b","v0.0.486","ResNet(A)-18",NA,"in1k",NA,NA,NA,NA
"resneta50b",25576264,0556,"7cedbb3bd808c0644b4afe1d52e7dad6abd33516","v0.0.492","ResNet(A)-50b",NA,"in1k",NA,NA,NA,NA
"resneta101b",44568392,0453,"0f342545d0ef4f215efc391fd24fa395b2573a1d","v0.0.532","ResNet(A)-101b",NA,"in1k",NA,NA,NA,NA
"resneta152b",60212040,0441,"c4b9bc9af946b25fd37de8cf4c58bdb0066dfeae","v0.0.524","ResNet(A)-152b",NA,"in1k",NA,NA,NA,NA
"resnetd50b",25680808,0565,"ec03d815c0f016c6517ed7b4b40126af46ceb8a4","v0.0.296",NA,NA,"in1k",NA,NA,NA,NA
"resnetd101b",44672936,0473,"f851c920ec1fe4f729d339c933535d038bf2903c","v0.0.296",NA,NA,"in1k",NA,NA,NA,NA
"resnetd152b",60316584,0482,"112e216da50eb20d52c509a28c97b05ef819cefe","v0.0.296",NA,NA,"in1k",NA,NA,NA,NA
"nin_cifar10",966986,0743,"795b082470b58c1aa94e2f861514b7914f6e2f58","v0.0.175",NA,NA,"cf",NA,NA,NA,NA
"nin_cifar100",984356,2839,"627a11c064eb44c6451fe53e0becfc21a6d57d7f","v0.0.183",NA,NA,"cf",NA,NA,NA,NA
"nin_svhn",966986,0376,"1205dc06a4847bece8159754033f325f75565c02","v0.0.270",NA,NA,"cf",NA,NA,NA,NA
"resnet20_cifar10",272474,0597,"9b0024ac4c2f374cde2c5052e0d0344a75871cdb","v0.0.163",NA,NA,"cf",NA,NA,NA,NA
"resnet20_cifar100",278324,2964,"a5322afed92fa96cb7b3453106f73cf38e316151","v0.0.180",NA,NA,"cf",NA,NA,NA,NA
"resnet20_svhn",272474,0343,"8232e6e4c2c9fac1200386b68311c3bd56f483f5","v0.0.265",NA,NA,"cf",NA,NA,NA,NA
"resnet56_cifar10",855770,0452,"628c42a26fe347b84060136212e018df2bb35e0f","v0.0.163",NA,NA,"cf",NA,NA,NA,NA
"resnet56_cifar100",861620,2488,"d65f53b10ad5d124698e728432844c65261c3107","v0.0.181",NA,NA,"cf",NA,NA,NA,NA
"resnet56_svhn",855770,0275,"6e08ed929b8f0ee649f75464f06b557089023290","v0.0.265",NA,NA,"cf",NA,NA,NA,NA
"resnet110_cifar10",1730714,0369,"4d6ca1fc02eaeed724f4f596011e391528536049","v0.0.163",NA,NA,"cf",NA,NA,NA,NA
"resnet110_cifar100",1736564,2280,"d8d397a767db6d22af040223ec8ae342a088c3e5","v0.0.190",NA,NA,"cf",NA,NA,NA,NA
"resnet110_svhn",1730714,0245,"c971f0a38943d8a75386a60c835cc0843c2f6c1c","v0.0.265",NA,NA,"cf",NA,NA,NA,NA
"resnet164bn_cifar10",1704154,0368,"74ae9f4bccb7fb6a8f3f603fdabe8d8632c46b2f","v0.0.179",NA,NA,"cf",NA,NA,NA,NA
"resnet164bn_cifar100",1727284,2044,"8fa07b7264a075fa5add58f4c676b99a98fb1c89","v0.0.182",NA,NA,"cf",NA,NA,NA,NA
"resnet164bn_svhn",1704154,0242,"549413723d787cf7e96903427a7a14fb3ea1a4c1","v0.0.267",NA,NA,"cf",NA,NA,NA,NA
"resnet272bn_cifar10",2816986,0333,"84f28e0ca97eaeae0eb07e9f76054c1ba0c77c0e","v0.0.368",NA,NA,"cf",NA,NA,NA,NA
"resnet272bn_cifar100",2840116,2007,"a80d2b3ce14de6c90bf22d210d76ebd4a8c91928","v0.0.368",NA,NA,"cf",NA,NA,NA,NA
"resnet272bn_svhn",2816986,0243,"ab1d7da51f52cc6acb2e759736f2d58a77ce895e","v0.0.368",NA,NA,"cf",NA,NA,NA,NA
"resnet542bn_cifar10",5599066,0343,"0fd36dd16587f49d33e0e36f1e8596d021a11439","v0.0.369",NA,NA,"cf",NA,NA,NA,NA
"resnet542bn_cifar100",5622196,1932,"a631d3ce5f12e145637a7b2faee663cddc94c354","v0.0.369",NA,NA,"cf",NA,NA,NA,NA
"resnet542bn_svhn",5599066,0234,"04396c973121e356f2efda9a28c4e4086f1511b2","v0.0.369",NA,NA,"cf",NA,NA,NA,NA
"resnet1001_cifar10",10328602,0328,"77a179e240808b7aa3534230d39b845a62413ca2","v0.0.201",NA,NA,"cf",NA,NA,NA,NA
"resnet1001_cifar100",10351732,1979,"2728b558748f9c3e70db179afb6c62358020858b","v0.0.254",NA,NA,"cf",NA,NA,NA,NA
"resnet1001_svhn",10328602,0241,"9e3d4bb55961db4c0f46a961b5323a4e03aea602","v0.0.408",NA,NA,"cf",NA,NA,NA,NA
"resnet1202_cifar10",19424026,0353,"1d5a21290117903fb5fd6ba59f3f7e7da7c08836","v0.0.214",NA,NA,"cf",NA,NA,NA,NA
